INFO  - 2014-06-29 20:33:21.826; org.apache.solr.update.processor.LogUpdateProcessor; [alliance] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83703 (1472304724653899776)]} 0 0
INFO  - 2014-06-29 20:33:21.828; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83720 (1472304724654948352)]} 0 1
INFO  - 2014-06-29 20:33:21.828; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83704 (1472304724655996928)]} 0 0
INFO  - 2014-06-29 20:33:21.830; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83707 (1472304724658094080)]} 0 0
INFO  - 2014-06-29 20:33:21.830; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83721 (1472304724658094081)]} 0 0
INFO  - 2014-06-29 20:33:21.832; org.apache.solr.update.processor.LogUpdateProcessor; [alliance] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83707 (1472304724660191232)]} 0 0
INFO  - 2014-06-29 20:33:21.832; org.apache.solr.update.processor.LogUpdateProcessor; [alliance] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83721 (1472304724660191233)]} 0 0
INFO  - 2014-06-29 20:33:21.834; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83708 (1472304724662288384)]} 0 0
INFO  - 2014-06-29 20:33:21.834; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83722 (1472304724662288385)]} 0 0
INFO  - 2014-06-29 20:33:21.836; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83723 (1472304724664385536)]} 0 0
INFO  - 2014-06-29 20:33:21.837; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83725 (1472304724665434112)]} 0 1
INFO  - 2014-06-29 20:33:21.838; org.apache.solr.update.processor.LogUpdateProcessor; [alliance] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83723 (1472304724666482688)]} 0 0
INFO  - 2014-06-29 20:33:21.839; org.apache.solr.update.processor.LogUpdateProcessor; [alliance] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83725 (1472304724667531264)]} 0 0
INFO  - 2014-06-29 20:33:21.840; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83724 (1472304724668579840)]} 0 0
INFO  - 2014-06-29 20:33:21.841; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83726 (1472304724669628416)]} 0 0
INFO  - 2014-06-29 20:33:21.843; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83727 (1472304724671725568)]} 0 0
INFO  - 2014-06-29 20:33:21.843; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83729 (1472304724671725569)]} 0 0
INFO  - 2014-06-29 20:33:21.845; org.apache.solr.update.processor.LogUpdateProcessor; [alliance] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83729 (1472304724673822720)]} 0 0
INFO  - 2014-06-29 20:33:21.845; org.apache.solr.update.processor.LogUpdateProcessor; [alliance] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83727 (1472304724673822721)]} 0 0
INFO  - 2014-06-29 20:33:21.847; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83730 (1472304724675919872)]} 0 0
INFO  - 2014-06-29 20:33:21.847; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83728 (1472304724675919873)]} 0 0
INFO  - 2014-06-29 20:33:21.850; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83733 (1472304724678017024)]} 0 1
INFO  - 2014-06-29 20:33:21.850; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83731 (1472304724679065600)]} 0 1
INFO  - 2014-06-29 20:33:21.852; org.apache.solr.update.processor.LogUpdateProcessor; [alliance] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83733 (1472304724680114176)]} 0 1
INFO  - 2014-06-29 20:33:21.852; org.apache.solr.update.processor.LogUpdateProcessor; [alliance] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83731 (1472304724681162752)]} 0 1
INFO  - 2014-06-29 20:33:21.853; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83734 (1472304724682211328)]} 0 0
INFO  - 2014-06-29 20:33:21.854; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83732 (1472304724682211329)]} 0 1
INFO  - 2014-06-29 20:33:21.856; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83735 (1472304724685357056)]} 0 0
INFO  - 2014-06-29 20:33:21.856; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83737 (1472304724685357057)]} 0 0
INFO  - 2014-06-29 20:33:21.858; org.apache.solr.update.processor.LogUpdateProcessor; [alliance] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83735 (1472304724687454208)]} 0 0
INFO  - 2014-06-29 20:33:21.858; org.apache.solr.update.processor.LogUpdateProcessor; [alliance] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83737 (1472304724687454209)]} 0 0
INFO  - 2014-06-29 20:33:21.860; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83736 (1472304724689551360)]} 0 0
INFO  - 2014-06-29 20:33:21.860; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83738 (1472304724689551361)]} 0 0
INFO  - 2014-06-29 20:33:21.862; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83741 (1472304724691648512)]} 0 0
INFO  - 2014-06-29 20:33:21.863; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83739 (1472304724691648513)]} 0 1
INFO  - 2014-06-29 20:33:21.865; org.apache.solr.update.processor.LogUpdateProcessor; [alliance] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83741 (1472304724693745664)]} 0 1
INFO  - 2014-06-29 20:33:21.865; org.apache.solr.update.processor.LogUpdateProcessor; [alliance] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83739 (1472304724693745665)]} 0 1
INFO  - 2014-06-29 20:33:21.866; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83742 (1472304724695842816)]} 0 0
INFO  - 2014-06-29 20:33:21.867; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83740 (1472304724695842817)]} 0 1
